_unit_id;unit_state
623495513;golden
623495514;golden
623495515;golden
623495516;golden
623495517;finalized
623495518;golden
623495519;golden
623495520;golden
623495521;golden
623495522;finalized
623495523;golden
623495524;golden
623495525;golden
623495526;finalized
623495527;golden
623495528;finalized
623495529;golden
623495530;finalized
623495531;finalized
623495532;finalized
623495533;finalized
623495534;finalized
623495535;finalized
623495536;golden
623495537;golden
623495538;golden
623495539;golden
623495540;finalized
623495541;golden
623495542;finalized
623495543;finalized
623495544;finalized
623495545;finalized
623495546;finalized
623495547;finalized
623495548;finalized
623495549;finalized
623495550;golden
