_unit_id;_golden;_unit_state;_trusted_judgments;_last_judgment_at;sentiment;sentiment:confidence;date;id;query;sentiment_gold;text
623495513;TRUE;golden;10;;3;0.6264;Mon Dec 01 19:30:03 +0000 2014;5.40E+17;#AAPL OR @Apple;3;
"not_relevant""";#AAPL:The 10 best Steve Jobs emails ever...http://t.co/82G1kL94tx;;;;;;;;;;
623495514;TRUE;golden;12;;3;0.8129;Mon Dec 01 19:43:51 +0000 2014;5.40E+17;#AAPL OR @Apple;3;
"1""";RT @JPDesloges: Why AAPL Stock Had a Mini-Flash Crash Today $AAPL #aapl;;;;;;;;;;
"http://t.co/hGFcjYa0E9""";;;;;;;;;;;
623495515;TRUE;golden;10;;3;1;Mon Dec 01 19:50:28 +0000 2014;5.40E+17;#AAPL OR @Apple;3;My cat only chews @apple cords. Such an #AppleSnob.
623495516;TRUE;golden;17;;3;0.5848;Mon Dec 01 20:26:34 +0000 2014;5.40E+17;#AAPL OR @Apple;3;
"1""";I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple #AAPL, it's extended so today's pullback is good to see;;;;;;;;;;
623495517;FALSE;finalized;3;12/12/2014 12:14;3;0.6474;Mon Dec 01 20:29:33 +0000 2014;5.40E+17;#AAPL OR @Apple;;Nobody expects the Spanish Inquisition #AAPL
623495518;TRUE;golden;13;;3;0.5975;Mon Dec 01 20:30:03 +0000 2014;5.40E+17;#AAPL OR @Apple;5;#AAPL:5 Rocket Stocks to Buy for December Gains: Apple and More...http://t.co/eG5XhXdLLS
623495519;TRUE;golden;13;;5;0.8468;Mon Dec 01 20:32:45 +0000 2014;5.40E+17;#AAPL OR @Apple;5;Top 3 all @Apple #tablets. Damn right! http://t.co/RJiGn2JUuB
623495520;TRUE;golden;9;;5;0.6736;Mon Dec 01 20:34:31 +0000 2014;5.40E+17;#AAPL OR @Apple;5;
"3""";CNBCTV: #Apple's margins better than expected? #aapl http://t.co/7geVrtOGLK;;;;;;;;;;
