customer_id;Year_Birth;Education;Marital_Status;Income;MntWines;MntFruits;MntMeatProducts;MntFishProducts;NumWebPurchases;NumCatalogPurchases;NumStorePurchases;NumWebVisitsMonth
5524;1957;Graduation;Single;58138.0;635;88;546;172;8;10;4;7
2174;1954;Graduation;Single;46344.0;11;1;6;2;1;1;2;5
4141;1965;Graduation;Together;71613.0;426;49;127;111;8;2;10;4
6182;1984;Graduation;Together;26646.0;11;4;20;10;2;0;4;6
5324;1981;PhD;Married;58293.0;173;43;118;46;5;3;6;5
7446;1967;Master;Together;62513.0;520;42;98;0;6;4;10;6
965;1971;Graduation;Divorced;55635.0;235;65;164;50;7;3;7;6
6177;1985;PhD;Married;33454.0;76;10;56;3;4;0;4;8
4855;1974;PhD;Together;30351.0;14;0;24;3;3;0;2;9
5899;1950;PhD;Together;5648.0;28;0;6;1;1;0;0;20
1994;1983;Graduation;Married;;5;5;6;0;1;0;2;7
387;1976;Basic;Married;7500.0;6;16;11;11;2;0;3;8
2125;1959;Graduation;Divorced;63033.0;194;61;480;225;3;4;8;2
8180;1952;Master;Divorced;59354.0;233;2;53;3;6;1;5;6
2569;1987;Graduation;Married;17323.0;3;14;17;6;1;0;3;8
2114;1946;PhD;Single;82800.0;1006;22;115;59;7;6;12;3
9736;1980;Graduation;Married;41850.0;53;5;19;2;3;0;3;8
4939;1946;Graduation;Together;37760.0;84;5;38;150;4;1;6;7
6565;1949;Master;Married;76995.0;1012;80;498;0;11;4;9;5
2278;1985;2n Cycle;Single;33812.0;4;17;19;30;2;1;3;6
9360;1982;Graduation;Married;37040.0;86;2;73;69;4;2;5;8
5376;1979;Graduation;Married;2447.0;1;1;1725;1;0;28;0;1
1993;1949;PhD;Married;58607.0;867;0;86;0;2;3;9;8
4047;1954;PhD;Married;65324.0;384;0;102;21;6;2;9;4
1409;1951;Graduation;Together;40689.0;270;3;27;39;7;1;5;8
7892;1969;Graduation;Single;18589.0;6;4;25;15;2;1;3;7
2404;1976;Graduation;Married;53359.0;173;4;30;3;5;1;4;7
5255;1986;Graduation;Single;;5;1;3;3;27;0;0;1
9422;1989;Graduation;Married;38360.0;36;2;42;20;2;1;4;3
1966;1965;PhD;Married;84618.0;684;100;801;21;6;9;10;2
6864;1989;Master;Divorced;10979.0;8;4;10;2;3;0;3;5
3033;1963;Master;Together;38620.0;112;17;44;34;2;5;3;3
5710;1970;Graduation;Together;40548.0;110;0;5;2;2;1;4;5
7373;1952;PhD;Divorced;46610.0;96;12;96;33;4;1;6;6
8755;1946;Master;Married;68657.0;482;34;471;119;3;5;9;7
10738;1951;Master;Single;49389.0;40;0;19;2;2;0;3;7
4339;1970;PhD;Married;67353.0;702;17;151;0;5;6;12;2
10755;1976;2n Cycle;Married;23718.0;6;3;14;15;3;1;2;7
8595;1973;Graduation;Widow;42429.0;55;0;6;2;1;1;3;5
2968;1943;PhD;Divorced;48948.0;437;8;206;160;7;10;5;6
8601;1980;Graduation;Married;80011.0;421;76;536;82;8;6;5;4
503;1985;Master;Married;20559.0;13;1;29;3;2;0;3;8
8430;1957;Graduation;Together;21994.0;9;0;6;3;0;0;3;5
7281;1959;PhD;Single;;81;11;50;3;1;3;4;2
2139;1975;Master;Married;7500.0;3;1;10;3;2;0;3;5
1371;1976;Graduation;Single;79941.0;123;164;266;227;2;4;9;1
9909;1996;2n Cycle;Married;7500.0;3;18;14;15;3;1;3;9
7286;1968;Graduation;Together;41728.0;13;6;15;3;2;0;2;10
7244;1951;Graduation;Single;;48;5;48;6;2;1;4;6
6566;1954;PhD;Married;72550.0;826;50;317;50;5;2;12;8
8614;1957;Graduation;Widow;65486.0;245;19;125;37;4;2;10;2
