,page_id,status_published,total_engagement,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,post_count
22,100434040001314,2016-11-01,49741,35318,3105,11318,22950,1906,697,4554,1206,4005,250
31,1014803551921469,2016-11-01,155745,95926,18311,41508,72594,5620,2233,5912,1000,8567,1289
49,1019871961378419,2016-11-01,1192782,900218,170192,122372,675544,47614,16100,38434,73706,48820,1260
60,1035617169863710,2016-11-01,2506,1497,267,742,1115,62,35,199,14,72,197
70,1036253643101134,2016-11-01,656574,474432,43802,138340,359882,23549,13228,25017,6682,46074,136
80,1036841469686059,2016-11-01,1771238,1324339,133212,313687,1093179,71585,24825,53155,14703,66892,593
107,103971336305218,2016-11-01,166909,90314,48517,28078,65460,5179,1335,10298,1751,6291,446
134,104037195986,2016-11-01,4245,2344,134,1767,2087,96,28,21,26,86,57
144,1046400185439764,2016-11-01,701134,428351,61270,211513,278795,16012,18262,34852,9827,70603,129
171,10498053716,2016-11-01,1566263,734165,130680,701418,548590,32375,10979,73609,8906,59706,410
179,1059410987429703,2016-11-01,1269,822,308,139,603,59,11,61,3,85,105
193,1061277377271291,2016-11-01,10367,8977,383,1007,7537,456,39,734,59,152,24
220,106154574485,2016-11-01,129051,70333,22269,36449,48891,1160,1051,12287,725,6219,132
227,1065157933581240,2016-11-01,397018,213643,19835,163540,174851,10209,5283,7356,1374,14570,205
254,106547192707583,2016-11-01,227553,150940,41795,34818,120186,5643,2480,12927,2023,7681,758
261,107222359687604,2016-11-01,231,105,31,95,83,10,3,0,3,6,49
275,107606936297999,2016-11-01,2074,1341,690,43,939,59,43,83,60,157,99
302,107705785934333,2016-11-01,7147308,4571507,457459,2118342,3242701,152457,155906,434731,89708,496004,1084
329,108038612554992,2016-11-01,2532517,1788723,150753,593041,1274393,116866,59902,127320,34723,175519,593
351,108247159506719,2016-11-01,1131967,852442,96608,182917,676897,33947,15362,25087,14196,86953,396
361,1086868394685992,2016-11-01,1809,1178,400,231,973,77,9,60,3,56,48
388,108728919161573,2016-11-01,292,257,30,5,217,10,5,14,4,7,32
397,1089660871073245,2016-11-01,859167,444754,73939,340474,334842,26250,6996,46074,4061,26531,2089
404,1109093812491437,2016-11-01,52116,38969,2139,11008,35943,1818,303,283,36,586,17
415,1119554641443403,2016-11-01,1172895,886071,120890,165934,818372,30581,4757,12135,2178,18048,412
442,112114435501106,2016-11-01,17602,12969,1894,2739,11555,397,272,354,67,324,1139
469,112415152112864,2016-11-01,492681,235494,55526,201661,160261,9354,4234,35911,2042,23692,419
474,1125333984241125,2016-11-01,12515,9890,848,1777,9187,347,42,159,17,138,302
503,112723252096438,2016-11-01,7028767,4666147,483950,1878670,3987868,224529,61250,153598,34554,204348,1136
515,1129007383778921,2016-11-01,437438,318135,33657,85646,221225,9542,2835,73708,2510,8315,640
542,114345125931,2016-11-01,111624,66769,1807,43048,57739,6072,527,69,1223,1139,310
569,114364638621903,2016-11-01,3265731,2005607,113379,1146745,1713892,124495,20205,51496,31096,64423,77
596,114469275252738,2016-11-01,60941,39577,5726,15638,28346,2090,1143,4863,571,2564,867
623,114517875225866,2016-11-01,19192877,10822569,448982,7921326,8038015,532299,168021,921046,450515,712673,478
650,114528955231791,2016-11-01,1218638,807800,68725,342113,552531,28508,20913,6044,86641,113163,145
661,1146656498733605,2016-11-01,5355,1791,84,3480,1640,99,6,8,7,31,107
666,114849938997087,2016-11-01,538,39,3,496,31,8,0,0,0,0,20
