year,category_code,category_description,citypart_code,citypart_name,branches_total,branches_12visitorsplus,employees
2018,0,rental holiday accomodations,A,Centrum,20,15,40
2018,0,rental holiday accomodations,E,West,5,5,5
2018,0,rental holiday accomodations,F,Nieuw-West,5,0,5
2018,0,rental holiday accomodations,K,Zuid,10,5,15
2018,0,rental holiday accomodations,M,Oost,5,0,5
2018,0,rental holiday accomodations,N,Noord,5,5,5
2018,0,rental holiday accomodations,T,Zuidoost,0,0,5
2018,1,hotels,A,Centrum,455,410,5090
2018,1,hotels,E,West,120,95,955
2018,1,hotels,F,Nieuw-West,35,30,615
2018,1,hotels,K,Zuid,145,125,2490
2018,1,hotels,M,Oost,50,45,760
2018,1,hotels,N,Noord,35,30,390
2018,1,hotels,S,Weesp,0,0,0
2018,1,hotels,T,Zuidoost,20,15,225
2018,2,"campings, hostels, bed and breakfast",A,Centrum,35,25,100
2018,2,"campings, hostels, bed and breakfast",E,West,10,10,105
2018,2,"campings, hostels, bed and breakfast",F,Nieuw-West,5,5,5
2018,2,"campings, hostels, bed and breakfast",K,Zuid,10,5,10
2018,2,"campings, hostels, bed and breakfast",M,Oost,5,5,50
2018,2,"campings, hostels, bed and breakfast",N,Noord,5,5,20
2018,2,"campings, hostels, bed and breakfast",T,Zuidoost,0,0,15
2018,3,restaurants,A,Centrum,790,750,8405
2018,3,restaurants,B,Westpoort,10,10,100
2018,3,restaurants,E,West,245,240,1545
2018,3,restaurants,F,Nieuw-West,115,110,730
2018,3,restaurants,K,Zuid,370,340,3770
2018,3,restaurants,M,Oost,180,165,1405
2018,3,restaurants,N,Noord,80,70,820
2018,3,restaurants,S,Weesp,0,0,0
2018,3,restaurants,T,Zuidoost,65,55,660
2018,4,"snackbars, lunchrooms, icecream parlors, fish stands",A,Centrum,325,310,2105
2018,4,"snackbars, lunchrooms, icecream parlors, fish stands",B,Westpoort,5,5,15
2018,4,"snackbars, lunchrooms, icecream parlors, fish stands",E,West,250,235,1095
2018,4,"snackbars, lunchrooms, icecream parlors, fish stands",F,Nieuw-West,150,140,580
2018,4,"snackbars, lunchrooms, icecream parlors, fish stands",K,Zuid,235,220,1105
